DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Denair Unified,50,71068,"15,306,491","1,212.80","12,621",Unified                  ,161,24,15,1,16,66.67,8,1,9,37.5,8,33.33,5.63,1,0.8,20.71,1,22.42,5,0,0,28.4,0,11,4,1,15.68,6.83,0
Desert Sands Unified,33,67058,"310,219,104","24,791.10","12,513",Unified                  ,2234,967,698,0,698,72.18,378,0,378,39.09,366,37.85,73.25,10,30.8,677.88,72.68,244.79,97.14,0,0,508.63,0,153.34,66.5,22,362.48,47.2,8.75
Dinuba Unified,54,75531,"71,708,443","6,277.30","11,423",Unified                  ,502,143,86,0,86,60.14,36,0,36,25.17,35,24.48,22.5,2.5,0,139.61,14.81,66.77,25,0,0,105.25,0,31.56,23,4,89.53,7,22.09
Dixon Unified,48,70532,"33,029,113","3,061.00","10,790",Unified                  ,310,120,85,0,85,70.83,74,0,74,61.67,65,54.17,15.25,2,1,84.05,4.5,37.53,12.43,0,0,52.39,0,19.14,11.6,2.9,57.07,7.2,1.69
Dos Palos Oro Loma Joint Unified,24,75317,"26,654,580","2,262.90","11,779",Unified                  ,188,69,36,0,36,52.17,23,0,23,33.33,21,30.43,15.75,1,0.5,60.57,10,35,8.12,0,0,58,0,19.5,7,1.5,36.39,4,1.15
Downey Unified,19,64451,"255,027,469","21,096.40","12,089",Unified                  ,2036,1075,771,0,771,71.72,464,0,464,43.16,432,40.19,58.5,6,12,485,78.3,314.08,68.4,0,0,299.34,0,83.63,44,19.65,331.72,63.2,14.66
Duarte Unified,19,64469,"45,037,022","3,430.30","13,129",Unified                  ,309,108,68,0,68,62.96,45,0,45,41.67,40,37.04,18.75,3,0,101.66,10.98,68.38,15,0,0,70.81,0,25.98,20,5.8,79.47,7.8,6.3
Dublin Unified,1,75093,"107,678,950","11,044.60","9,749",Unified                  ,582,523,422,2,424,81.07,347,2,349,66.73,336,64.24,22,3.5,8.4,295.75,36.63,93.71,48.77,0,0,127.97,0,33.42,21.8,6,120.73,16.4,0.95
Durham Unified,4,61432,"10,113,069",968.4,"10,443",Unified                  ,61,36,30,0,30,83.33,15,0,15,41.67,13,36.11,3.88,1,0.5,29.23,0.4,7.97,4.17,0,0,22.6,0,4,2.6,1,15,2.7,0
East Nicolaus Joint Union High,51,71373,"3,391,998",296.8,"11,429",High                     ,76,35,24,0,24,68.57,20,0,20,57.14,17,48.57,0,0.5,0,0,0.5,0.25,0,0,0,5.25,0,4,1.5,0,15.3,0,0
