District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
1,1,0.5,46.39,7.25,18.25,5.52,0,0,Armona Union Elementary,20,0,16.5,6.65,0,9.8,2.73,0
5,1.5,0,80.48,2.5,47.5,14.53,0,0,Central Union Elementary,33.25,0,16.25,8,0,0,4,0
3,4,1,91.81,21.14,22.48,13.25,0,0,Corcoran Joint Unified,15.63,0,20.75,12,2,40.76,2,0
17.75,4,4.5,213.42,12.5,56.62,33.25,0,0,Hanford Elementary,143.76,0,17.81,25,0,0,11.5,0
14.19,3,0,0,7,16,0,0,0,Hanford Joint Union High,65.72,0,36.32,12.75,12,158.92,4,0
0,0,0,15,0,7.91,2,0,0,Island Union Elementary,4.31,0,2.38,2,0,0,0,1
0,0,0,27,0,4,5,0,0,Kings River-Hardwick Union Elementary,17,0,3.5,2,0,0,0,2
4,1,0,14.3,7.55,22.15,2.7,0,0,Kit Carson Union Elementary,9,0,8,3.25,0,25.69,1,2.01
15,2,6,126.87,9.83,27,17.96,0,0,Lemoore Union Elementary,39,0,14.5,13.18,0,0,5,0.17
7,2,0,0,2.14,9.17,0,0,0,Lemoore Union High,49.51,0,19,7,6.74,103.14,3,1.27
9.72,0,1,69.83,12.66,28.89,12,0,0,Reef-Sunset Unified,63.37,0,13.97,10,0,29.75,0.95,0
7,1,0.75,41.19,1,25.75,5,0,0,Kelseyville Unified,49.75,0,11,4.5,1,27.9,4,5
18.94,2.5,2.6,77.24,14.66,48.35,12.95,0,0,Konocti Unified,95.34,0,19.24,11.9,1,38.66,7,0.17
7.69,1,1.8,45.59,0,17.67,5.64,0,0,Lakeport Unified,35.96,0,6,7,1.8,23.39,3,0
0,0,0,10.5,0,7.69,1.5,0,0,Lucerne Elementary,4.94,0,3,2,0,0,0,0
