Name,URL
Buttonwillow+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Buttonwillow+Union+Elementary&ID2=0606720&details=
Caliente+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Caliente+Union+Elementary&ID2=0606960&details=
Delano+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Delano+Union+Elementary&ID2=0610890&details=
Delano+Joint+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Delano+Joint+Union+High&ID2=0610860&details=
Di+Giorgio+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Di+Giorgio+Elementary&ID2=0611130&details=
Edison+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Edison+Elementary&ID2=0611940&details=
Elk+Hills+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Elk+Hills+Elementary&ID2=0612360&details=
Fairfax+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fairfax+Elementary&ID2=0613290&details=
Fruitvale+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fruitvale+Elementary&ID2=0614700&details=
General+Shafter+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=General+Shafter+Elementary&ID2=0615000&details=
Greenfield+Union,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Greenfield+Union&ID2=0616050&details=
Kern+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kern+High&ID2=0619540&details=
Kernville+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kernville+Union+Elementary&ID2=0619590&details=
Lakeside+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lakeside+Union+Elementary&ID2=0620760&details=
Lamont+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lamont+Elementary&ID2=0620850&details=
Richland+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Richland+Union+Elementary&ID2=0621450&details=
Linns+Valley-Poso+Flat+Union,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Linns+Valley-Poso+Flat+Union&ID2=0621900&details=
Lost+Hills+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lost+Hills+Union+Elementary&ID2=0622950&details=
Maple+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Maple+Elementary&ID2=0623730&details=
Maricopa+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Maricopa+Unified&ID2=0623820&details=
