,DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,Category,Teachers,Staff Support,Administrators,Counselors,Librarians,Student Support,Improvement Percentage,Predicted PctBothBenchmark
69,Loomis Union Elementary,31,66845,"22,432,509","2,437.40",9203,Elementary               ,43,23,22,0,22,95.65,19,0,19,82.61,18,78.26,0,185.47,155.76,14.0,1.0,0.0,12.54,1.3165724341418268,79.2903495869594
70,Los Alamitos Unified,30,73924,"101,405,247","9,537.40",10632,Unified                  ,831,564,523,2,525,93.09,418,2,420,74.47,412,73.05,0,372.32,297.78,21.4,8.0,0.0,22.49,1.902810158122421,74.44000282050843
71,Los Banos Unified,24,65755,"115,018,239","10,286.70",11181,Unified                  ,798,266,164,0,164,61.65,98,0,98,36.84,93,34.96,0,431.1,411.67,38.65,11.0,0.0,55.9,62.88310770762846,56.94393445458691
72,Lucia Mar Unified,40,68759,"110,262,122","9,992.30",11035,Unified                  ,862,382,340,1,341,89.27,268,1,269,70.42,264,69.11,0,488.09,445.57,33.0,11.0,0.0,22.6,4.204857911387908,72.01597730256019
73,Manteca Unified,39,68593,"244,552,503","22,384.50",10925,Unified                  ,1912,688,500,0,500,72.67,311,0,311,45.2,288,41.86,0,995.42,877.96,71.6,22.0,0.0,103.0,7.496351330829776,44.99797266708534
74,Martinez Unified,7,61739,"42,215,022","3,982.50",10600,Unified                  ,321,126,107,0,107,84.92,94,0,94,74.6,89,70.63,0,187.19,129.94,13.0,9.0,1.0,10.8,2.3629470778300394,72.29894952107136
75,Mendota Unified,10,75127,"33,159,964","3,246.70",10213,Unified                  ,222,70,28,0,28,40.0,12,0,12,17.14,10,14.29,0,131.59,122.37,11.5,2.0,0.0,11.83,1.306096217446521,14.476641149473108
76,Middletown Unified,17,64055,"15,543,455","1,383.00",11239,Unified                  ,136,38,32,0,32,84.21,20,0,20,52.63,19,50.0,0,77.24,90.39,7.16,0.0,0.0,1.81,1.3004809720556847,50.65024048602784
77,Milpitas Unified,43,73387,"105,122,428","10,072.30",10437,Unified                  ,892,508,450,5,455,89.57,398,5,403,79.33,391,76.97,0,434.39,284.7,32.65,7.9,0.0,33.6,2.9394119659048266,79.23246539015695
78,Modoc Joint Unified,25,73585,"8,547,131",802.5,10651,Unified                  ,61,15,11,0,11,73.33,8,0,8,53.33,8,53.33,0,48.7,40.1,4.8,1.0,0.0,0.0,1.2147512966364917,53.97782686649624
79,Moorpark Unified,56,73940,"60,094,659","6,017.00",9988,Unified                  ,564,215,200,0,200,93.02,155,0,155,72.09,151,70.23,0,263.45,304.62,19.75,12.3,0.0,21.3,1.429327084970761,71.23381641177497
80,Morgan Hill Unified,43,69583,"83,858,234","7,995.40",10488,Unified                  ,692,388,329,0,329,84.79,264,0,264,68.04,255,65.72,0,387.75,315.08,24.69,9.27,1.8,12.89,3.094814291531595,67.75391195239456
81,Murrieta Valley Unified,33,75200,"228,213,079","21,995.50",10375,Unified                  ,2074,1228,1004,1,1005,81.84,648,1,649,52.85,628,51.14,0,871.41,848.23,55.6,31.17,0.0,66.9,4.443424758183375,53.41236742133498
82,Napa Valley Unified,28,66266,"176,807,038","15,927.70",11101,Unified                  ,1486,667,514,0,514,77.06,350,0,350,52.47,338,50.67,0,789.23,723.28,63.1,24.65,0.0,114.17,6.395671849466359,53.91068692612461
83,Natomas Unified,34,75283,"104,831,329","9,376.20",11181,Unified                  ,1117,614,462,0,462,75.24,271,0,271,44.14,259,42.18,0,564.22,534.58,42.8,18.0,0.0,46.14,45.29316840308088,61.28465843241952
